State,FIPS,Year,Total_population
AK,02010,1990,12076
AK,02010,1991,11942
AK,02010,1992,11939
AK,02010,1993,12717
AK,02013,1994,2510
AK,02013,1995,2619
AK,02013,1996,2709
AK,02013,1997,2768
AK,02013,1998,2750
AK,02013,1999,2739
AK,02013,2000,2693
AK,02013,2001,2590
AK,02013,2002,2734
AK,02013,2003,2732
AK,02013,2004,2727
AK,02013,2005,2787
AK,02013,2006,2794
AK,02013,2007,3012
AK,02013,2008,2991
AK,02013,2009,3084
AK,02013,2010,3167
AK,02013,2011,3260
AK,02013,2012,3297
AK,02013,2013,3346
AK,02013,2014,3347
AK,02013,2015,3373
AK,02013,2016,3354
AK,02013,2017,3445
AK,02013,2018,3391
AK,02013,2019,3355
AK,02013,2020,3401
AK,02016,1994,7291
AK,02016,1995,5964
AK,02016,1996,5984
AK,02016,1997,5373
AK,02016,1998,5339
AK,02016,1999,5396
AK,02016,2000,5470
AK,02016,2001,5501
AK,02016,2002,5472
AK,02016,2003,5709
AK,02016,2004,5798
AK,02016,2005,5913
AK,02016,2006,5658
AK,02016,2007,5466
AK,02016,2008,5393
AK,02016,2009,5537
AK,02016,2010,5561
AK,02016,2011,5585
AK,02016,2012,5681
AK,02016,2013,5779
AK,02016,2014,5825
AK,02016,2015,5782
AK,02016,2016,5718
AK,02016,2017,5760
AK,02016,2018,5678
AK,02016,2019,5702
AK,02016,2020,5680
AK,02020,1990,227614
AK,02020,1991,235137
AK,02020,1992,245623
AK,02020,1993,250163
AK,02020,1994,252278
AK,02020,1995,251981
AK,02020,1996,250710
AK,02020,1997,252700
AK,02020,1998,257232
AK,02020,1999,259348
AK,02020,2000,260816
AK,02020,2001,264274
AK,02020,2002,268229
AK,02020,2003,270568
AK,02020,2004,274484
AK,02020,2005,276494
AK,02020,2006,280085
AK,02020,2007,278792
AK,02020,2008,281554
AK,02020,2009,287677
AK,02020,2010,293760
AK,02020,2011,296693
AK,02020,2012,298806
AK,02020,2013,301801
AK,02020,2014,300647
AK,02020,2015,298337
AK,02020,2016,298072
AK,02020,2017,295118
AK,02020,2018,291377
AK,02020,2019,288790
AK,02020,2020,287095
AK,02050,1990,13717
AK,02050,1991,13927
AK,02050,1992,14150
AK,02050,1993,14507
AK,02050,1994,14785
AK,02050,1995,15116
AK,02050,1996,15261
AK,02050,1997,15395
AK,02050,1998,15587
AK,02050,1999,15841
AK,02050,2000,16080
AK,02050,2001,16171
AK,02050,2002,16414
AK,02050,2003,16517
AK,02050,2004,16603
AK,02050,2005,16728
AK,02050,2006,16755
AK,02050,2007,16723
AK,02050,2008,16762
AK,02050,2009,16860
AK,02050,2010,17081
AK,02050,2011,17418
AK,02050,2012,17655
AK,02050,2013,17855
AK,02050,2014,17960
AK,02050,2015,17970
AK,02050,2016,18018
AK,02050,2017,18102
AK,02050,2018,18267
AK,02050,2019,18493
AK,02050,2020,18437
AK,02060,1990,1388
AK,02060,1991,1430
AK,02060,1992,1547
AK,02060,1993,1676
AK,02060,1994,1236
AK,02060,1995,1144
AK,02060,1996,1225
AK,02060,1997,1303
AK,02060,1998,1325
AK,02060,1999,1313
AK,02060,2000,1232
AK,02060,2001,1196
AK,02060,2002,1166
AK,02060,2003,1140
AK,02060,2004,1144
AK,02060,2005,1171
AK,02060,2006,1111
AK,02060,2007,1076
AK,02060,2008,1040
AK,02060,2009,976
AK,02060,2010,1002
AK,02060,2011,1029
AK,02060,2012,980
AK,02060,2013,952
AK,02060,2014,949
AK,02060,2015,906
AK,02060,2016,906
AK,02060,2017,869
AK,02060,2018,881
AK,02060,2019,840
AK,02060,2020,788
AK,02068,1990,1725
AK,02068,1991,1835
AK,02068,1992,1920
AK,02068,1993,1846
AK,02068,1994,1948
AK,02068,1995,1940
AK,02068,1996,2046
AK,02068,1997,2013
AK,02068,1998,1987
AK,02068,1999,1911
AK,02068,2000,1890
AK,02068,2001,1850
AK,02068,2002,1862
AK,02068,2003,1825
AK,02068,2004,1877
AK,02068,2005,1834
AK,02068,2006,1837
AK,02068,2007,1803
AK,02068,2008,1803
AK,02068,2009,1817
AK,02068,2010,1839
AK,02068,2011,1878
AK,02068,2012,1915
AK,02068,2013,1948
AK,02068,2014,1922
AK,02068,2015,1940
AK,02068,2016,2068
AK,02068,2017,2103
AK,02068,2018,2047
AK,02068,2019,2125
AK,02068,2020,2081
AK,02070,1994,4536
AK,02070,1995,4540
AK,02070,1996,4623
AK,02070,1997,4678
AK,02070,1998,4749
AK,02070,1999,4872
AK,02070,2000,4916
AK,02070,2001,4840
AK,02070,2002,4900
AK,02070,2003,4828
AK,02070,2004,4850
AK,02070,2005,4841
AK,02070,2006,4833
AK,02070,2007,4832
AK,02070,2008,4769
AK,02070,2009,4776
AK,02070,2010,4850
AK,02070,2011,4947
AK,02070,2012,4948
AK,02070,2013,4976
AK,02070,2014,4981
AK,02070,2015,4987
AK,02070,2016,4968
