gvkey,conm
1004,AAR CORP
1010,ACF INDUSTRIES INC
1013,ADC TELECOMMUNICATIONS INC
1019,AFA PROTECTIVE SYSTEMS INC
1021,AFP IMAGING CORP
1034,ALPHARMA INC  -CL A
1036,UNITED DOMINION INDUSTRIES
1037,AM COMMUNICATIONS INC
1038,AMC ENTERTAINMENT INC -OLD
1045,AMERICAN AIRLINES GROUP INC
1048,ANR PIPELINE CO
1050,CECO ENVIRONMENTAL CORP
1056,AEROFLEX INC
1062,ASA GOLD AND PRECIOUS METALS
1072,AVX CORP
1075,PINNACLE WEST CAPITAL CORP
1076,PROG HOLDINGS INC
1078,ABBOTT LABORATORIES
1081,ABITIBI CONSOLIDATED INC
1082,SERVIDYNE INC
1084,WORLDS INC
1094,ACETO CORP
1095,ACKERLEY GROUP INC
1096,MORGUARD CORP
1097,ACMAT CORP  -CL A
1099,ACME ELECTRIC CORP
1104,ACME UNITED CORP
1107,ACE HARDWARE CORP
1109,ALUF HOLDINGS INC
1111,ACTIVISION INC
1115,ADAC LABORATORIES
1117,BK TECHNOLOGIES CORP
1119,ADAMS DIVERSIFIED EQUITY FD
1121,ADAMS RESOURCES & ENERGY INC
1148,ADVEST GROUP INC
1154,AERO SYSTEMS ENGINEERING INC
1161,ADVANCED MICRO DEVICES
1164,MCI INC
1165,B-FAST CORP
1166,ASM INTERNATIONAL NV
1173,AEROSONIC CORP
1177,AETNA INC
1183,IDNA INC
1186,AGNICO EAGLE MINES LTD
1193,AGWAY INC
1209,AIR PRODUCTS & CHEMICALS INC
1210,AIR T INC
1213,AIRBORNE INC
1224,SPIRE ALABAMA INC
1225,ALABAMA POWER CO
1228,ALANCO TECHNOLOGIES INC
1230,ALASKA AIR GROUP INC
1234,ATRION CORP
1238,ALBERTA ENERGY CO LTD
1239,ALBERTO-CULVER CO
1240,ALBERTSON'S INC
1243,ALCAN INC
1244,ALCIDE CORP
1246,IKON OFFICE SOLUTIONS
1254,MATSON INC
1257,ALEXANDER'S INC
1258,CAPCO ENERGY INC
1259,TAMIR BIOTHECHNOLOGY INC
1262,ALGOMA CENTRAL CORP
1263,ALGOMA STEEL GROUP INC
1266,ALICO INC
1272,PETRO USA INC
1274,ALLEGHANY CORP
1279,ALLEGHENY ENERGY INC
1281,ALLEN TELECOM INC
1283,ALLEN ORGAN CO  -CL B
1300,HONEYWELL INTERNATIONAL INC
1308,ALLIS-CHALMERS ENERGY INC
1318,ALLTEL CORP
1324,SCHERER HEALTHCARE INC
1327,SKYWORKS SOLUTIONS INC
1331,ALPINE GROUP INC
1334,NQL INC
1336,ALLTEL PENNSYLVANIA INC
1352,ARROW DOW JONES GLBL YLD ETF
1356,ALCOA INC
1359,ALZA CORP
1360,SENTO CORP
1363,BESTWAY INC
1367,AMBER RESOURCES CO OF COLO
1372,AMCAST INDUSTRIAL CORP
1380,HESS CORP
1382,US AIRWAYS GROUP INC
1388,AMERICAN AIRLINES INC
1393,AMERCO
1397,AMERICAN BILTRITE INC
1408,BEAM INC
1410,ABM INDUSTRIES INC
1414,PRIMERICA INC
1417,INVESCO BOND FUND
1418,TRANSFINANCIAL HOLDINGS INC
1429,AMERICAN CRYSTAL SUGAR CO
1439,US ECOLOGY INC
1440,AMERICAN ELECTRIC POWER CO
1441,MANSFELDER METALS LTD
1444,AMERICAN VANTAGE COMPANIES
1447,AMERICAN EXPRESS CO
1448,AMERICAN EXPRESS CREDIT CORP
1449,AFLAC INC
1450,AMERICAN FAMILY FINL SVCS
1465,AMERICAN GENERAL CORP
1468,AMERICAN GREETINGS  -CL A
1478,WYETH
1487,AMERICAN INTERNATIONAL GROUP
1491,INFINYA LTD
1496,AMERICAN LOCKER GROUP INC
1500,AMERICAN MANAGEMENT SYSTEMS
1507,VANECK EMG MKTS HIGH YLD BD
1511,GOLF ROUNDS.COM INC
1518,GALLERY OF HISTORY INC
1523,AMERICAN MEDICAL ALERT CORP
1526,AMERICAN NATIONAL GROUP INC
1530,AMERICAN NUCLEAR CORP
1533,AMERICAN PACIFIC CORP
1539,AMERICAN PHYSICIANS SVC GP
1545,AMERICAN REALTY INVESTORS
1554,AMERICAN SCIENCE ENGINEERING
1559,AMERICAN SHARED HSPTL SERV
1562,AMERICAN SOFTWARE  -CL A
1567,TRANE INC
1577,AMERICAN TECHNICAL CERAMICS
1581,AT&T CORP
1585,AMERICAN VANGUARD CORP
1587,AMERICAN WATER WORKS INC
1593,AMERON INTERNATIONAL CORP
1594,AMES DEPT STORES INC
1598,AMETEK INC
1602,AMGEN INC
1606,AMISTAR CORP
1611,AMPAL-AMERICAN ISRAEL CORP
1613,AMPCO-PITTSBURGH CORP
1618,AMREP CORP
1619,AMSOUTH BANCORPORATION
1627,ANACOMP INC
1632,ANALOG DEVICES INC
1633,ANALOGIC CORP
1634,ANALYSTS INTERNATIONAL CORP
1635,ANAREN INC
1641,MOSCOW CABLECOM CORP
1642,CROWN ANDERSEN INC
1650,ANDREA ELECTRONICS CORP
1651,ANDREW CORP
1655,ANGELICA CORP
1656,IQUNIVERSE INC
1659,ANDERSONS INC
1661,NABORS INDUSTRIES LTD
1663,ANHEUSER-BUSCH COS INC
1669,BIW LTD
1676,MAXUM ENERGY LOGISTICS -REDH
1677,K2 INC
1678,APA CORP
1681,APOLLO SOLAR ENERGY INC
1682,APCO OIL AND GAS INTL INC
1686,APOGEE ENTERPRISES INC
1689,APPALACHIAN POWER
1690,APPLE INC
1704,APPLIED MATERIALS INC
1705,SINO SHIPPING HOLDINGS INC
1706,ENERPAC TOOL GROUP CORP
1712,TRECORA RESOURCES
1715,ARBOR MEMORIAL SERVICES INC
1718,ADVANCED OXYGEN TECHNOLOGY
1722,ARCHER-DANIELS-MIDLAND CO
1728,ARDEN GROUP INC  -CL A
1738,WASHINGTON MUTUAL FINL CORP
1742,ARIZONA PUBLIC SERVICE CO
1743,ARCBEST CORP
1745,ENTERGY ARKANSAS
1762,ARMSTRONG HOLDINGS INC
1766,ARNOLD INDUSTRIES INC
1773,ARROW ELECTRONICS INC
1783,ARTS WAY MFG INC
1790,ASBESTOS CORP LTD
1794,ASHLAND INC
1797,ASPEN EXPLORATION CORP -OLD
1814,ASTRO COMMUNICATIONS INC
1819,ASTREX INC
1820,ASTRONOVA INC
1822,ASTROCOM CORP
1823,ASTRONICS CORP
1828,ATCO LTD  -CL I
1837,SOUTHERN CO GAS
1856,ATLAS MINERALS INC
1858,CEVA LOGISTICS INC-REDH
1860,ATWOOD OCEANICS
1864,REX AMERICAN RESOURCES CORP
1866,AULT INC
1868,ASSURANCEAMERICA CORP
1874,AGENT INFORMATION SOFTWR INC
1875,AUTO-TROL TECHNOLOGY CORP
1878,AUTODESK INC
1884,DIALYSIS CORP OF AMERICA
1891,AUTOMATIC DATA PROCESSING
1895,AMBASSADOR FOOD SVCS CORP
1902,DELSITE INC
1906,A V HOMES INC
1913,AVERY DENNISON CORP
1914,AVIALL INC
1919,AVNET INC
1920,AVON PRODUCTS
1926,AZZ INC
1932,BRITISH AMER TOBACCO PLC
1940,BI INC
1943,BMC INDUSTRIES INC
1945,BOC GROUP PLC
1949,BRT APARTMENTS CORP
1951,BSD MEDICAL CORP
1956,MID-ATLANTIC REALTY TRUST
1968,BADGER METER INC
