YEAR,RANKING,COMPANY,CUSTOMER SATISFACTION,EMPLOYEE ENGAGEMENT AND DEVELOPMENT,INNOVATION,SOCIAL RESPONSIBILITY,FINANCIAL STRENGTH,EFFECTIVENESS,gvkey,new_gvkey
2017,218, American Airlines Group ,36.4,53.4,64.5,50.5,57.5,53.6,1045,
2018,69,American Airlines Group,48.3,56.2,77.7,51.8,59.3,63.7,1045,
2019,176,American Airlines Group Inc,51.6,52.2,67.5,54.5,43.4,55.9,1045,
2020,483, American Airlines Group Inc. ,48.9,37.5,56.5,56.2,38.6,47.5,1045,
2021,456, American Airlines Group Inc ,51.7,35.8,69.1,53.2,21.1,48,1045,
2017,352, Pinnacle West Capital ,41.4,50.5,41.3,61.9,49.5,48.8,1075,
2018,419,Pinnacle West Capital,44.1,48.2,44.1,59.4,44.1,47.5,1075,
2019,480,Pinnacle West Capital Corp,25.8,50.5,44.4,59.6,44.4,44.3,1075,
2020,539, Pinnacle West Capital (AZ) ,35.1,49.3,42.8,59.9,47.3,46,1075,
2021,439, Pinnacle West Capital (AZ) ,37.4,56.5,44.1,59.3,44.6,48.5,1075,
2017,129,Abbott Laboratories,38,56.7,74.2,60.8,44.9,57.8,1078,
2018,94,Abbott Laboratories,44.2,56,73.1,64.7,45.2,61.4,1078,
2019,57,Abbott Laboratories,53.8,53.4,70.6,65.8,54,65,1078,
2020,51,Abbott Laboratories,46.3,55.7,74.2,69.6,57.2,67.5,1078,
2021,23,Abbott Laboratories,51.1,58,78.8,71.6,55.6,71.8,1078,
2018,77,Advanced Micro Devices,67.6,60.4,53.2,65.2,45.7,62.7,1161,
2020,49, Advanced Micro Devices ,57.7,64.3,57.6,66.6,64.5,68.1,1161,
2021,25, Advanced Micro Devices ,60,65.6,55.4,63.1,81.8,70.9,1161,
2017,330,Aetna,41.1,51.8,49.5,54.3,51.9,49.7,1177,
2018,272,Aetna,40.8,50.4,51.8,58.3,54.8,52.6,1177,
2017,298, Agnico Eagle Mines?€? ,42.6,54.4,45.7,62,44.2,50.5,1186,
2017,111, Air Products &amp; Chemicals ,48.6,55.6,51.9,66.4,55.5,59,1209,
2018,118,Air Products &amp; Chemicals,50.7,57.2,57.4,64.1,50,59.6,1209,
2019,112,Air Products and Chemicals Inc,48.3,57.5,55.6,66.7,52.6,59.9,1209,
2020,137, Air Products &amp; Chemicals Inc ,37.2,60.2,56.6,68,55.5,59.3,1209,
2021,141, Air Products &amp; Chemicals Inc ,44.6,59.6,54.3,67.8,50.5,59.4,1209,
2017,122,Alaska Air Group,60,62,50.7,48.8,57.8,58.4,1230,
